GS_ID,wFC,pFDR
WAG001977,1.4092,0.27460554628334
WAG001991,0.8998,0.26628416609294
WAG002001,0.7742,0.013616836632656
WAG002011,1.0534,0.21073282013925
WAG002033,1.429,0.01342505020121
WAG002037,0.6687,0.032958062031524
WAG002078,0.5423,0.27600424896822
WAG002090,0.8808,0.25796278590253
WAG002093,1.5379,9.1414067003144e-11
WAG002098,0.6698,0.25940103708434
WAG002119,1.4711,0.011445000870415
WAG002152,0.8491,1.6901809929563e-08
WAG002163,0.9231,2.9978654336805e-05
WAG002165,0.1327,0.0092908513030338
WAG002173,0.8778,7.9356930180325e-16
WAG002190,0.7777,1.1921352240845e-13
WAG002199,1.969,0.11605841138087
WAG002241,0.8924,0.00030570649942743
WAG002250,0.7548,0.041536329672935
WAG002258,0.9357,0.0028623619818426
WAG002340,2.5424,9.3964031764337e-10
WAG002345,0.8622,2.0053328715308e-14
WAG002346,1.0343,0.026355618157101
WAG002347,1.4772,0.062069762092399
WAG002355,0.8537,0.0015292147009009
WAG002361,0.5043,0.25291601115723
WAG002367,0.9681,0.013233263769764
WAG002391,1.1868,0.097158078029364
WAG002393,1.1276,1.5949237704763e-14
WAG002400,1.0383,0.00033594180267266
WAG002403,0.7881,0.24643098523012
WAG002428,1.0585,0.24964140571213
WAG002452,0.0,0.26811841328341
WAG002477,1.1893,7.5822018605477e-06
WAG002517,0.9768,1.7794761712851e-08
WAG002524,1.4474,0.35415379935086
WAG002526,0.5191,0.2058320568802
WAG002537,1.0841,9.5561242290991e-07
WAG002545,0.8327,0.005278340760639
WAG002562,1.2768,0.00014562887076662
WAG002614,0.9143,0.095358854362153
WAG002616,1.1523,0.02596225072192
WAG002629,0.5265,0.091408628084986
WAG002639,1.4724,0.0084636127987292
WAG002641,1.4401,0.20093129362115
WAG002646,1.4711,0.011290338696491
WAG002659,1.1057,3.5026082663002e-17
WAG002663,0.6097,1.7388728584471e-05
WAG002668,1.347,0.45645940373293
WAG002670,0.4177,7.2297506501268e-17
WAG002674,0.7093,0.093559630694943
WAG002677,1.4767,0.089804967943144
WAG002696,0.8598,9.7489833381663e-05
WAG002713,0.9686,0.00016115797062864
WAG002716,0.7075,0.061052225008917
WAG002729,0.6181,9.9879868407745e-07
WAG002744,1.8714,0.34150544937404
WAG002771,2.62,1.1515417292871e-08
WAG002779,0.9151,0.0038858610395445
WAG002789,0.7637,1.4741471071479e-06
WAG002795,0.6938,2.2742854924119e-05
WAG002804,0.7233,0.00013569760746933
WAG002805,1.0888,5.2895762075069e-17
WAG002808,1.7692,0.082309225268212
WAG002817,1.6422,0.11312889538228
WAG002818,1.3405,0.0057964707522613
WAG002847,1.4552,0.23994595930301
WAG002858,1.2785,0.00097276636189056
WAG002860,0.6274,3.3774652774569e-13
WAG002896,0.7475,4.7541872425959e-16
WAG002900,1.0109,0.0015124101437482
WAG002903,1.0627,0.0028467236130023
WAG002906,0.3467,0.059036302115017
WAG002927,1.0515,0.00096905592988104
WAG002928,0.9422,3.6823995488214e-06
WAG002931,1.7842,0.16040895099828
WAG002933,0.9451,0.00014421499823491
WAG002936,0.6039,0.032882631547956
WAG002946,0.7275,3.1971297657581e-07
WAG002957,0.5479,0.0020288237138723
WAG003013,1.4902,0.1108201424153
WAG003015,1.2803,1.1820021398404e-05
WAG003024,1.2998,1.1811066104058e-06
WAG003035,0.6947,0.00096252671597592
WAG003039,0.4405,0.15684430764276
WAG003044,1.2378,0.0089526712122462
WAG003050,1.2998,1.1709246568678e-06
WAG003058,1.0688,0.011358522125448
WAG003063,1.2941,3.5778042290128e-08
WAG003076,0.7441,0.0019001105500945
WAG003077,0.616,0.088201307801302
WAG003083,0.2324,0.011135676522566
WAG003122,1.0184,0.0069386287209941
WAG003131,0.8812,0.24132002552172
WAG003141,1.1539,0.020073132804111
WAG003155,0.8551,0.2334609333759
WAG003160,0.765,0.0022386447662059
WAG003163,0.4259,0.091760407027733
WAG003165,0.8907,0.00075373052579057
WAG003177,280.4441,0.11358908347915
WAG003186,0.8857,2.2048432846577e-06
WAG003188,1.5723,0.011209067886955
WAG003196,1.5006,3.4732838210666e-15
WAG003197,1.0804,0.0028290787029839
WAG003198,0.7562,0.089961183360522
WAG003200,1.6197,0.32885709939723
WAG003210,0.7936,6.6584718384502e-12
WAG003212,1.0332,7.1522738964249e-17
WAG003213,0.5849,1.9898339252967e-06
WAG003219,0.7333,3.0455458262643e-12
WAG003233,0.7494,0.060034687925435
WAG003238,0.9573,6.8368455263971e-15
WAG003245,0.9244,0.0012178198309152
WAG003262,0.3047,0.00074603939797638
WAG003266,0.7646,0.0013033531555066
WAG003294,0.863,5.3973758997814e-17
WAG003308,1.3615,6.7850437847514e-08
