GS_ID,wFC,pFDR
WAG002505,1.2159,0.0065424092931929
WAG002507,1.3278,0.050112483555419
WAG002605,1.2081,1.1529208316979e-07
WAG002607,1.214,0.001620926323192
WAG002608,1.5613,6.4000438663066e-23
WAG002609,1.2811,0.1852401762627
WAG002723,1.3748,0.21409905615569
WAG002724,1.9705,0.25172639419807
WAG002726,1.2558,0.037749708172106
WAG002729,0.2571,7.7684143461102e-05
WAG002731,1.7433,2.4198378166483e-07
WAG002805,1.2851,1.772937164219e-17
WAG002809,1.3093,0.14956206309798
WAG002898,1.3442,0.028174212671422
WAG002964,1.1928,0.027689867266628
WAG003042,0.7301,0.04228877730862
WAG003047,1.5378,7.4655999801259e-13
WAG002052,1.5777,2.3245673961939e-07
WAG002053,1.448,4.7491672797827e-05
WAG002054,0.9296,0.16932923029181
WAG002055,0.9845,0.0099400620556959
WAG002121,1.3684,8.214354849137e-05
WAG002122,1.3359,5.6003780228994e-10
WAG002124,1.1421,0.00026767743486107
WAG002125,1.2381,5.3753403262164e-12
WAG002179,1.0991,0.0022454750149365
WAG002185,1.1938,0.00017096424944743
WAG002281,1.4682,7.5572025209869e-11
WAG002282,0.9659,0.14202497473796
WAG002284,1.232,0.25172614097326
WAG002285,1.5039,1.4731111506467e-05
WAG002332,1.0016,0.091634603532673
WAG002335,0.9277,0.009524021545337
WAG002336,1.2362,0.038319782974482
WAG002337,0.9579,0.019053632451015
WAG002417,1.5026,5.6247708788707e-07
WAG002418,0.9769,0.037257739932081
WAG002419,1.4916,3.1233919231799e-12
WAG002513,1.3237,3.5478939693349e-22
WAG002612,0.9407,0.0013960833363746
WAG002613,0.6992,0.00074323463575028
WAG002615,0.7341,0.0031106715536918
WAG002616,0.8912,0.25292795216561
WAG002617,1.1178,4.4762752483074e-05
WAG002618,1.0388,5.7816869213794e-09
WAG002732,0.8208,3.9209665754987e-09
WAG002735,1.0733,3.5753957108197e-07
WAG002815,1.2515,0.16207268656135
WAG002819,1.0655,1.2587518603582e-08
WAG002820,1.1963,1.175279973309e-12
WAG002965,1.2602,2.8534833465136e-10
WAG002968,1.2906,0.0016238461580149
WAG003049,1.1428,3.7335053416334e-06
WAG003050,0.8137,0.15541435642618
WAG003051,1.2633,4.4165454373495e-14
WAG001977,2.4207,0.083607244098533
WAG001978,1.3039,0.023200069861656
WAG001979,1.2872,0.15393360728411
WAG002057,1.333,2.5558457418781e-13
WAG002058,1.2162,0.042456608447485
WAG002059,1.3254,0.0030554620478265
WAG002128,1.4363,2.8859404015336e-05
WAG002131,1.2865,9.2434444951095e-16
WAG002186,1.2816,5.7883013273685e-19
WAG002290,1.4926,3.4298582019242e-13
WAG002291,1.4512,7.2845817553761e-14
WAG002338,1.1216,1.3163581921863e-06
WAG002340,1.4012,0.0024149198753357
WAG002421,1.1078,0.015926406517835
WAG002422,0.9904,0.0039985184956073
WAG002424,0.9178,0.0033038270814131
WAG002426,1.1971,0.00049765093710166
WAG002514,1.2791,0.0012809679613408
WAG002619,1.1246,0.48486684789566
WAG002621,1.1627,0.24186626867841
WAG002625,0.6972,0.25232717318184
WAG002626,1.0265,0.0002667385905447
WAG002628,1.3226,7.4589010153708e-30
WAG002736,1.216,0.4265621358738
WAG002740,1.6633,0.40202220551327
WAG002821,1.289,0.031759478098993
WAG002823,1.5337,0.36344423497783
WAG002824,1.3268,2.4253890642564e-10
WAG002969,1.2171,5.5743987584609e-05
WAG002970,0.9734,0.018319375615286
WAG002971,1.2803,0.20403944662466
WAG003054,1.0835,0.072847256884218
WAG003056,1.1336,0.054796751415194
WAG003057,1.7382,0.0020748162794978
WAG003059,1.0151,0.031642284452871
WAG001982,1.0389,0.066469444422344
WAG001986,1.21,8.2257320719197e-05
WAG001987,1.1056,0.00014800006426237
WAG001988,1.1814,0.1856650390523
WAG002060,2.6224,2.9534524498413e-05
WAG002061,1.6785,1.5333384590152e-09
WAG002062,1.3051,0.0031155779757008
WAG002063,1.2884,0.0016974471330736
WAG002190,0.9882,1.2484348795985e-05
WAG002193,1.4003,0.031876671745115
WAG002194,1.7816,7.1219776281811e-10
WAG002292,2.9154,0.00043216239310616
WAG002342,0.9825,0.035491455380484
WAG002345,1.1229,0.065993418410638
WAG002430,1.3212,0.13612911594475
WAG002431,1.4355,0.39679381721339
WAG002433,1.4011,0.025123311643046
WAG002434,1.381,1.8917232392317e-05
WAG002517,1.8245,6.7819327926979e-08
WAG002522,1.1385,2.9463978843707e-09
WAG002742,1.2589,0.15948434889548
WAG002747,0.9774,0.40098872940655
WAG002826,1.3545,0.0036997645875848
WAG002832,1.2303,0.040706040231551
WAG002900,1.6431,0.091297148407309
WAG002902,1.1369,3.627667293245e-05
WAG002904,1.3058,0.028073604135494
WAG002973,1.4816,1.8177450601401e-18
WAG003061,0.9505,0.32551369684002
WAG003063,0.9837,2.3238787540177e-08
WAG003065,1.3441,0.28534193548715
WAG003066,1.2333,1.7096349381429e-12
WAG001992,1.2644,0.49761022916841
WAG001996,0.8179,4.134543529112e-13
WAG002067,1.6389,4.7802075656473e-22
WAG002132,1.3912,2.5165386948801e-09
WAG002133,1.2647,4.5391103144466e-26
WAG002195,1.3704,0.0095400283042367
WAG002202,1.2351,0.49948381041586
WAG002203,0.9081,0.078281396114575
WAG002204,1.4271,3.3739352026855e-13
WAG002295,1.8384,0.00014492589665058
WAG002296,1.2479,0.0047610060771603
WAG002298,1.0582,3.1406486627962e-05
WAG002354,0.952,0.066336770880582
WAG002436,1.0301,0.00091645547571786
WAG002437,1.4211,4.6867508683134e-09
WAG002524,0.3333,0.015817882430602
WAG002525,1.1141,0.051851227195289
WAG002633,1.2007,0.025065294850212
WAG002639,1.3708,0.2420018411901
WAG002641,1.4186,0.18440695006794
WAG002642,1.417,0.0030649245056521
WAG002645,1.1793,2.4895906048166e-09
WAG002752,1.1547,0.0066336086727804
WAG002754,1.5963,0.39995525329984
WAG002755,1.3246,4.6442939908302e-09
WAG002833,1.7419,0.36915188236828
WAG002834,0.8591,0.010273020968164
WAG002835,1.0352,0.14085642374863
WAG002836,1.8462,0.029672533854756
WAG002837,1.1619,0.0042204943758918
WAG002838,1.1234,0.00073059001106623
WAG002909,1.4161,0.042374961123548
WAG002913,1.3159,1.1166659330541e-05
WAG002978,1.588,0.25052483623054
WAG002979,1.6383,0.010612974026421
WAG003069,0.9193,0.076550449988236
WAG003070,1.3408,0.0054622484725592
WAG003071,0.8909,0.0031008587096738
WAG001998,0.9831,0.00091782331971147
WAG002000,0.842,0.051777326130633
WAG002002,1.4562,0.0049006725229002
WAG002068,1.5841,1.3043045505167e-24
WAG002070,2.0416,0.37338204525704
WAG002072,1.2534,0.37243196371694
WAG002205,0.5879,0.0089116716431244
WAG002206,1.2966,2.9495092556493e-05
WAG002208,1.4677,2.9455660614572e-05
WAG002209,1.6491,0.010631084903599
WAG002212,1.1009,3.920415660723e-08
WAG002215,1.0695,0.010399372374284
WAG002300,1.4316,3.7666869316095e-11
WAG002301,1.8107,2.8358465052577e-08
WAG002359,0.4422,0.18081653469614
WAG002360,1.1014,0.00018942266738758
WAG002363,0.9386,6.2781696460816e-05
WAG002438,1.1246,1.2327539525927e-06
WAG002440,1.9845,0.17008620571615
WAG002441,0.7648,0.015795287949878
WAG002442,1.4179,1.5803401073223e-09
WAG002532,1.06,4.1385164116413e-07
WAG002646,1.3661,0.37008881607988
WAG002647,1.458,0.019179881707677
WAG002653,1.7457,0.0014250315527734
WAG002840,1.1804,1.0650466608405e-06
WAG002841,1.2587,0.00021950725037724
WAG002915,1.0853,0.0017427261880408
WAG002981,1.3697,0.004335532712154
WAG002982,1.3402,0.0028167242795119
WAG002983,1.1955,0.0018012078259827
WAG002985,0.8798,0.00088550542513334
WAG002989,1.4061,0.00080104983017776
WAG003075,1.4805,0.0070719588397181
WAG003076,2.0351,0.031583687629811
WAG003077,0.2924,0.1937478980074
WAG003078,1.3741,2.4858740715917e-05
WAG003079,1.1164,0.012172995866359
WAG003080,0.9245,4.3164576516717e-09
WAG002006,1.3399,5.8093703877748e-07
WAG002007,0.983,0.17206768584526
WAG002073,1.632,0.078412981788027
WAG002074,1.7663,0.047957850796669
WAG002075,1.4558,0.17226801910627
WAG002077,3.0221,1.0527108756346e-05
WAG002079,1.3286,6.6863548788122e-08
WAG002134,1.1587,5.7926086936581e-24
WAG002216,1.0937,0.096327008777501
WAG002219,0.9387,0.007466378091711
WAG002221,1.3464,4.5707179867446e-15
WAG002302,1.0738,0.00018458885591257
WAG002304,1.1053,0.0017651233146613
WAG002305,0.7464,0.0046364674061469
WAG002306,0.9659,0.015954298648339
WAG002308,1.3263,0.48237760710658
WAG002364,1.2186,1.1518233465616e-09
WAG002444,1.6458,0.1034352212936
WAG002448,2.0791,0.12200804684003
WAG002533,1.1647,0.01515742420865
WAG002534,1.6625,0.28673384736757
WAG002536,0.5104,0.0031312249823381
WAG002537,0.5456,0.31670101725114
WAG002539,1.0584,1.0506717405023e-07
WAG002656,1.326,8.4536996673058e-07
WAG002658,1.2079,0.045057205610995
WAG002757,1.2816,4.3511408514663e-06
WAG002759,1.3343,1.4479990347987e-07
WAG002760,1.6569,0.0095080147864372
WAG002845,1.9021,0.083436617069761
WAG002846,1.0883,0.00028980975611299
WAG002847,1.3279,0.32756919152972
WAG002849,0.8591,0.0081796790955576
WAG002925,2.0205,1.5807274146701e-08
WAG002928,1.7051,0.072994126353743
WAG002929,1.1575,0.32752666056089
WAG002996,1.0682,1.3157750229645e-10
WAG002998,1.0796,0.00017071502157377
WAG003084,1.143,0.032468880070845
WAG003088,1.0737,0.11499119705425
WAG002014,1.3856,0.0020903943993468
WAG002085,1.4158,0.001046910884904
WAG002087,1.4475,3.1889177367309e-22
WAG002135,1.4581,1.5901228580383e-09
WAG002227,1.0915,0.00011771500842573
WAG002233,1.4776,3.978588827321e-11
WAG002309,1.4118,3.4758619541496e-12
WAG002310,1.4073,5.0351677035978e-14
WAG002365,1.2343,5.1858435985545e-05
WAG002366,1.2512,2.9118172493755e-07
WAG002456,1.2108,0.034072402482805
WAG002457,0.8401,0.0085488247623212
WAG002544,1.1234,0.39637320485709
WAG002545,1.9517,0.11694280681005
WAG002548,1.1194,2.0328893674637e-07
WAG002549,1.1634,0.0024263027768236
WAG002553,1.3034,0.010381716394022
WAG002659,1.3196,9.2274281248126e-21
WAG002762,1.3836,2.4056201832921e-18
WAG002850,1.4536,0.15930654233333
WAG002854,1.2155,1.7170331108161e-06
WAG002932,1.6046,1.2531331333951e-08
WAG002939,0.9718,0.0013618539356124
WAG002940,1.0159,0.05174875441427
WAG002999,1.6097,2.2513099129755e-07
WAG003000,1.192,0.042266136905256
WAG003001,1.3338,7.2747143948692e-09
WAG003095,1.4982,0.0018052937691931
WAG003097,1.1501,4.4114033949219e-05
WAG003098,1.2823,0.035358279187687
WAG003102,1.287,0.12127634767894
WAG002021,0.838,0.096528109004594
WAG002022,1.1215,9.5496126079814e-07
WAG002023,1.4889,3.2141612975845e-12
WAG002088,1.0872,0.10365206662125
WAG002089,1.4032,0.0091288355172696
WAG002139,0.9452,4.262023149655e-06
WAG002234,1.1792,1.7197254211859e-06
WAG002312,0.9228,0.0031361951807227
WAG002314,0.9046,0.0005286963063513
WAG002316,1.3057,7.4396458200175e-05
WAG002377,0.5984,0.092498925421557
WAG002378,1.0688,0.00026729394283405
WAG002458,0.8662,0.0085236112766595
WAG002466,1.1031,4.0071336447531e-05
WAG002554,1.2129,1.443664521297e-14
WAG002557,1.3509,0.035424867284085
WAG002561,1.009,0.12174790175082
WAG002660,1.5825,0.24143242509319
WAG002663,0.9911,0.00091882820716455
WAG002665,1.2405,0.00023878969803514
WAG002666,1.0577,2.9416228672652e-05
WAG002765,1.4987,0.0015289485153029
WAG002861,1.8425,2.4799484994379e-09
WAG002862,1.1275,0.00025648476058276
WAG002868,1.4308,1.8350921695245e-05
WAG002946,0.6589,0.17038655078293
WAG002949,0.9871,0.00022738532120806
WAG002950,1.6436,2.8820976047273e-05
WAG002955,1.2637,0.40324443247421
WAG002956,0.8649,0.15895641806447
WAG003002,1.4083,2.2495157110908e-09
WAG003003,1.4889,0.032529456339633
WAG003005,1.0653,2.4080097052065e-13
WAG002024,1.6,1.9031905490787e-08
WAG002091,1.5577,5.0844621837071e-05
WAG002092,1.2539,0.012350283641151
WAG002093,1.1332,7.7109246566384e-05
WAG002142,1.3417,5.4120772902408e-07
WAG002143,1.2183,2.2540996402531e-07
WAG002239,1.3375,0.0036478679035672
WAG002317,0.9324,0.066897626071828
WAG002320,1.592,1.109007741697e-11
WAG002321,1.4869,1.254642932351e-08
WAG002380,1.2475,9.0620365121135e-15
WAG002469,1.5528,9.5324798481199e-06
WAG002565,1.3238,0.0031347632426498
WAG002670,0.6196,8.5053226943581e-10
WAG002672,1.1454,7.4294405445443e-05
WAG002675,1.0958,7.5744392399884e-07
WAG002676,1.419,0.036772261477422
WAG002678,1.015,0.14226463934345
WAG002767,1.4097,2.9871013007401e-12
WAG002769,1.5986,3.9156288284144e-08
WAG002770,1.5267,1.2488113318254e-12
WAG002872,1.0801,0.025133663351031
WAG003006,0.7663,0.0049518098473113
WAG003007,0.9474,0.0002271226431192
WAG002027,1.2087,1.7988092455636e-08
WAG002094,1.1108,1.8399404040884e-06
WAG002095,1.4529,1.3036513539269e-09
WAG002145,0.8917,1.2601081336189e-05
WAG002146,1.3681,2.5626867551159e-10
WAG002147,1.6802,0.26008011392645
WAG002148,1.3033,0.1596566666022
WAG002149,1.3524,9.1851693687501e-16
WAG002240,1.3306,9.6412979653942e-12
WAG002241,1.4776,0.01165080470554
WAG002245,1.6927,0.37009966227788
WAG002246,1.1991,0.24260416669631
WAG002322,1.2661,0.31125072266332
WAG002323,0.6198,0.023861124817103
WAG002325,1.7056,1.961249646097e-09
WAG002381,1.12,2.619225534031e-06
WAG002384,1.5685,2.1789604374023e-11
WAG002473,1.5513,3.5628068809698e-07
WAG002478,1.2259,0.31456144517905
WAG002574,2.0991,0.00074235829924235
WAG002683,1.2295,0.00018432923726853
WAG002686,1.0937,0.17149203703822
WAG002688,1.1392,0.00046664454060902
WAG002771,1.4153,0.00023754455719678
WAG002874,1.2105,6.9036092739348e-05
WAG002876,1.5974,2.4927530351371e-29
WAG003008,1.2212,2.6099754926846e-05
WAG003009,1.6094,0.10898285891409
WAG003011,1.7064,0.0030449382538402
WAG003015,1.2688,0.035506261228949
