GS_ID,NAME,SOURCE,GS_SIZE,ORGANISM,DESCRIPTION,LINK,TYPE,MULTI_N,OLAP,COCO_V2,SIMILARITY_SCORE,pvalue,Rank,pFDR
WAG003212,Malignant pleural mesothelioma,WikiPathway_2021,430,Homo sapiens,Malignant pleural mesothelioma,https://www.wikipathways.org/index.php/Pathway:WP5087,P,1333,76,1643.647427,.0602668699961875714830346930995043842928,1.6321289280341e-23,1,3.2316152775076e-21
WAG003294,Sudden infant death syndrome (SIDS) susceptibility pathways,WikiPathway_2021,160,Homo sapiens,Sudden infant death syndrome (SIDS) susceptibility pathways,https://www.wikipathways.org/index.php/Pathway:WP706,P,1333,43,520.3515382,.0693650703586019064911484339536995006809,4.532665965819e-21,2,8.9293519526635e-19
WAG002805,PI3K-Akt signaling pathway,WikiPathway_2021,341,Homo sapiens,PI3K-Akt signaling pathway,https://www.wikipathways.org/index.php/Pathway:WP4172,P,1333,63,2517.238566,.0582699435818807032168748232281882191821,9.1296798692661e-21,3,1.7894172543762e-18
WAG002659,Focal adhesion: PI3K-Akt-mTOR-signaling pathway,WikiPathway_2021,303,Homo sapiens,Focal adhesion: PI3K-Akt-mTOR-signaling pathway,https://www.wikipathways.org/index.php/Pathway:WP3932,P,1333,59,2281.29567,.0592014051190526777999688380855252907265,1.0636411593316e-20,4,2.0741002606967e-18
WAG002393,Focal adhesion,WikiPathway_2021,199,Homo sapiens,Focal adhesion,https://www.wikipathways.org/index.php/Pathway:WP306,P,1333,43,4929.347674,.058559523756158132320837012896776478288,3.1658064425645e-17,5,6.1416644985751e-15
WAG002190,Spinal cord injury,WikiPathway_2021,121,Homo sapiens,Spinal cord injury,https://www.wikipathways.org/index.php/Pathway:WP2431,P,1333,33,912.2650552,.0666889688048841682696328510495943798611,9.8870803696313e-17,6,1.9082065113388e-14
WAG003238,Network map of SARS-CoV-2 signaling pathway,WikiPathway_2021,226,Homo sapiens,Network map of SARS-CoV-2 signaling pathway,https://www.wikipathways.org/index.php/Pathway:WP5115,P,1333,44,1086.742255,.0544583352842939863588831140453559332615,7.9127409663348e-16,7,1.5192462655363e-13
WAG003196,Burn wound healing,WikiPathway_2021,107,Homo sapiens,Burn wound healing,https://www.wikipathways.org/index.php/Pathway:WP5055,P,1333,30,1347.149916,.0671704667712289525192165605921163493072,1.0495783619212e-15,8,2.0046946712695e-13
WAG003063,AXL signaling pathway,WikiPathway_2021,95,Homo sapiens,AXL signaling pathway,https://www.wikipathways.org/index.php/Pathway:WP4847,P,1333,28,919.372195,.0693514557410712103063045444544943408218,2.2726442401009e-15,9,4.3180240561918e-13
WAG003031,IL-18 signaling pathway,WikiPathway_2021,274,Homo sapiens,IL-18 signaling pathway,https://www.wikipathways.org/index.php/Pathway:WP4754,P,1333,48,721.1273768,.0516454928901573510469022301922056929256,2.9105786105259e-15,10,5.500993573894e-13
WAG002380,Nuclear receptors meta-pathway,WikiPathway_2021,318,Homo sapiens,Nuclear receptors meta-pathway,https://www.wikipathways.org/index.php/Pathway:WP2882,P,1333,52,566.0944592,.0503914773456552432293672185855474265177,3.8770015706404e-15,11,7.288762952804e-13
WAG003219,Orexin receptor pathway,WikiPathway_2021,156,Homo sapiens,Orexin receptor pathway,https://www.wikipathways.org/index.php/Pathway:WP5094,P,1333,35,370.2991071,.0575587001731088727010793163942235079526,7.898719521206e-15,12,1.4770605504655e-12
WAG002670,TYROBP causal network in microglia,WikiPathway_2021,60,Homo sapiens,TYROBP causal network in microglia,https://www.wikipathways.org/index.php/Pathway:WP3945,P,1333,22,221.1523998,.0816195856873822975517890772128060263653,1.3418593292626e-14,13,2.4958583524284e-12
WAG003210,Neuroinflammation and glutamatergic signaling,WikiPathway_2021,140,Homo sapiens,Neuroinflammation and glutamatergic signaling,https://www.wikipathways.org/index.php/Pathway:WP5083,P,1333,31,1248.281118,.0555841197526846729580214773836641718191,3.7840456762293e-13,14,7.0004845010243e-11
WAG002152,Neural crest differentiation,WikiPathway_2021,101,Homo sapiens,Neural crest differentiation,https://www.wikipathways.org/index.php/Pathway:WP2064,P,1333,26,647.6395286,.061110322045624275523341320712358140025,7.2349215161031e-13,15,1.331225558963e-10
WAG002173,Allograft Rejection,WikiPathway_2021,94,Homo sapiens,Allograft Rejection,https://www.wikipathways.org/index.php/Pathway:WP2328,P,1333,25,1120.605639,.0624722318210988793997136792219973342548,8.980118886042e-13,16,1.6433617561457e-10
WAG002517,MECP2 and associated Rett syndrome,WikiPathway_2021,73,Homo sapiens,MECP2 and associated Rett syndrome,https://www.wikipathways.org/index.php/Pathway:WP3584,P,1333,22,223.8509879,.0685098172447612515304389074429010070448,1.3053395947846e-12,17,2.3757180625079e-10
WAG002860,"Oligodendrocyte specification and differentiation, leading to myelin components for CNS",WikiPathway_2021,31,Homo sapiens,"Oligodendrocyte specification and differentiation, leading to myelin components for CNS",https://www.wikipathways.org/index.php/Pathway:WP4304,P,1333,15,536.019499,.102483042263896135784659771032196679046,1.6699340645302e-12,18,3.0225806567997e-10
WAG002340,Regulation of IGF transport and uptake by IGF binding proteins,WikiPathway_2021,126,Homo sapiens,Regulation of IGF transport and uptake by IGF binding proteins,https://www.wikipathways.org/index.php/Pathway:WP2799,P,1333,28,563.9224936,.0547008547008547008547008547008547008547,4.5979892707109e-12,19,8.2763806872797e-10
WAG002186,Brain-derived neurotrophic factor (BDNF) signaling pathway,WikiPathway_2021,144,Homo sapiens,Brain-derived neurotrophic factor (BDNF) signaling pathway,https://www.wikipathways.org/index.php/Pathway:WP2380,P,1333,30,2476.639133,.0525757575757575757575757575757575757576,4.641554624896e-12,20,8.3083827785638e-10
WAG002970,Hippo-Merlin signaling dysregulation,WikiPathway_2021,122,Homo sapiens,Hippo-Merlin signaling dysregulation,https://www.wikipathways.org/index.php/Pathway:WP4541,P,1333,27,1230.322057,.0541660089746769792770649649356213498094,1.2100396417373e-11,21,2.1538705622923e-09
WAG002969,Hippo signaling regulation pathways,WikiPathway_2021,98,Homo sapiens,Hippo signaling regulation pathways,https://www.wikipathways.org/index.php/Pathway:WP4540,P,1333,24,862.1468483,.057868480725623582766439909297052154195,1.6983052636806e-11,22,3.0060003167147e-09
WAG002771,Post-translational protein phosphorylation,WikiPathway_2021,109,Homo sapiens,Post-translational protein phosphorylation,https://www.wikipathways.org/index.php/Pathway:WP4110,P,1333,25,393.5992182,.0550881494947786750095125354077706844798,3.0062415126201e-11,23,5.2909850622114e-09
WAG002925,Transcriptional regulation by MECP2,WikiPathway_2021,62,Homo sapiens,Transcriptional regulation by MECP2,https://www.wikipathways.org/index.php/Pathway:WP4453,P,1333,19,259.7884932,.068429824694313550205306141002136396006,3.1301964477463e-11,24,5.477843783556e-09
WAG002789,Neurexins and neuroligins,WikiPathway_2021,56,Homo sapiens,Neurexins and neuroligins,https://www.wikipathways.org/index.php/Pathway:WP4133,P,1333,18,668.9833429,.0710653753026634382566585956416464891041,4.2156921440296e-11,25,7.3353043306116e-09
WAG003024,Endochondral ossification,WikiPathway_2021,64,Homo sapiens,Endochondral ossification,https://www.wikipathways.org/index.php/Pathway:WP474,P,1333,19,749.4469403,.0665078015016424213984045049272641952135,5.7920135000848e-11,26,1.0020183355147e-08
WAG003050,Endochondral ossification with skeletal dysplasias,WikiPathway_2021,64,Homo sapiens,Endochondral ossification with skeletal dysplasias,https://www.wikipathways.org/index.php/Pathway:WP4808,P,1333,19,749.4469403,.0665078015016424213984045049272641952135,5.7920135000848e-11,26,9.9622632201459e-09
WAG002359,Hematopoietic stem cell differentiation,WikiPathway_2021,65,Homo sapiens,Hematopoietic stem cell differentiation,https://www.wikipathways.org/index.php/Pathway:WP2849,P,1333,19,406.8458035,.0655909943714821763602251407129455909944,7.801636050344e-11,28,1.3340797646088e-08
WAG002345,Complement system,WikiPathway_2021,97,Homo sapiens,Complement system,https://www.wikipathways.org/index.php/Pathway:WP2806,P,1333,23,948.6903875,.0559411989308896525391370752195494463536,8.9044977359578e-11,29,1.5137646151128e-08
WAG002732,Interleukin-4 and Interleukin-13 signaling,WikiPathway_2021,107,Homo sapiens,Interleukin-4 and Interleukin-13 signaling,https://www.wikipathways.org/index.php/Pathway:WP4066,P,1333,24,2929.28819,.0537118186166156073473714145370406277064,1.2046818643062e-10,30,2.0359123506774e-08
WAG003049,EGFR tyrosine kinase inhibitor resistance,WikiPathway_2021,84,Homo sapiens,EGFR tyrosine kinase inhibitor resistance,https://www.wikipathways.org/index.php/Pathway:WP4806,P,1333,21,7784.38757,.0578175895765472312703583061889250814332,2.0073794294327e-10,31,3.3723974414469e-08
WAG002537,Lung fibrosis,WikiPathway_2021,63,Homo sapiens,Lung fibrosis,https://www.wikipathways.org/index.php/Pathway:WP3624,P,1333,18,1391.930268,.0639002480391499631293155460213179593752,3.6753150945088e-10,32,6.1377762078298e-08
WAG002804,GABA receptor signaling,WikiPathway_2021,31,Homo sapiens,GABA receptor signaling,https://www.wikipathways.org/index.php/Pathway:WP4159,P,1333,13,873.9868229,.0888139335214031644793327609468907150742,4.7430843407641e-10,33,7.8735200056683e-08
WAG002054,Interferon alpha/beta signaling,WikiPathway_2021,54,Homo sapiens,Interferon alpha/beta signaling,https://www.wikipathways.org/index.php/Pathway:WP1835,P,1333,16,8166.916961,.065285624607658505963590709353421217828,1.9114353584567e-09,34,3.1538683414536e-07
WAG002267,Extracellular matrix organization,WikiPathway_2021,81,Homo sapiens,Extracellular matrix organization,https://www.wikipathways.org/index.php/Pathway:WP2703,P,1333,19,2506.745129,.0539899303400234498930960755914200979378,4.4553872561405e-09,35,7.3068351000704e-07
WAG002545,Imatinib and chronic myeloid leukemia,WikiPathway_2021,20,Homo sapiens,Imatinib and chronic myeloid leukemia,https://www.wikipathways.org/index.php/Pathway:WP3640,P,1333,10,428.7164433,.1038167938931297709923664122137404580153,6.046624808971e-09,36,9.8559984386227e-07
WAG002696,NO/cGMP/PKG mediated neuroprotection,WikiPathway_2021,47,Homo sapiens,NO/cGMP/PKG mediated neuroprotection,https://www.wikipathways.org/index.php/Pathway:WP4008,P,1333,14,768.148723,.0648599801190846746257267077003403853685,1.7926436057111e-08,37,2.904082641252e-06
WAG002477,NOTCH1 regulation of endothelial cell calcification,WikiPathway_2021,17,Homo sapiens,NOTCH1 regulation of endothelial cell calcification,https://www.wikipathways.org/index.php/Pathway:WP3413,P,1333,9,340.4420222,.1093207483566492499578628012809708410585,1.8659367703505e-08,38,3.0041582002643e-06
WAG002874,"Non-genomic actions of 1,25 dihydroxyvitamin D3",WikiPathway_2021,71,Homo sapiens,"Non-genomic actions of 1,25 dihydroxyvitamin D3",https://www.wikipathways.org/index.php/Pathway:WP4341,P,1333,17,2106.153164,.0542424641305778596814532052125839147032,2.0407498717846e-08,39,3.2651997948554e-06
