GS_ID,NAME,SOURCE,GS_SIZE,ORGANISM,DESCRIPTION,LINK,TYPE,MULTI_N,OLAP,COCO_V2,SIMILARITY_SCORE,pvalue,Rank,pFDR
WAG002718,Neutrophil degranulation,WikiPathway_2021,474,Homo sapiens,Neutrophil degranulation,https://www.wikipathways.org/index.php/Pathway:WP4049,P,1333,133,172.7292014,.0903083748223834781382534465740349050362,1.8020098620809e-50,1,7.0818987579778e-48
WAG002628,VEGFA-VEGFR2 signaling pathway,WikiPathway_2021,438,Homo sapiens,VEGFA-VEGFR2 signaling pathway,https://www.wikipathways.org/index.php/Pathway:WP3888,P,1333,116,980.8100106,.0829712696366962075211812798674869014877,1.9781187015442e-41,2,7.7542253100534e-39
WAG003212,Malignant pleural mesothelioma,WikiPathway_2021,430,Homo sapiens,Malignant pleural mesothelioma,https://www.wikipathways.org/index.php/Pathway:WP5087,P,1333,97,1643.647427,.0701162790697674418604651162790697674419,7.4396070073977e-29,3,2.9088863398925e-26
WAG003032,PodNet: protein-protein interactions in the podocyte,WikiPathway_2021,301,Homo sapiens,PodNet: protein-protein interactions in the podocyte,https://www.wikipathways.org/index.php/Pathway:WP4755,P,1333,78,843.8242674,.0726689258916504104554624198563239435682,1.2420730660475e-27,4,4.8440849575853e-25
WAG002393,Focal adhesion,WikiPathway_2021,199,Homo sapiens,Focal adhesion,https://www.wikipathways.org/index.php/Pathway:WP306,P,1333,60,4929.347674,.0767963528985131844790965134953116095944,2.5031451381003e-25,5,9.7372345872101e-23
WAG003066,Endothelin pathway,WikiPathway_2021,194,Homo sapiens,Endothelin pathway,https://www.wikipathways.org/index.php/Pathway:WP4857,P,1333,59,968.3903924,.0770669996665271283728652414840252304156,3.7903092742802e-25,6,1.4706399984207e-22
WAG002133,miR-targeted genes in lymphocytes,WikiPathway_2021,485,Homo sapiens,miR-targeted genes in lymphocytes,https://www.wikipathways.org/index.php/Pathway:WP2004,P,1333,97,26.66337642,.0645647356758467869578980690091801202912,1.1498456359397e-24,7,4.4499026110865e-22
WAG002820,Ebola virus pathway in host,WikiPathway_2021,131,Homo sapiens,Ebola virus pathway in host,https://www.wikipathways.org/index.php/Pathway:WP4217,P,1333,46,650.3115529,.0831141616952124361194859623238608420467,7.5305480178423e-23,8,2.9067915348871e-20
WAG002134,miR-targeted genes in muscle cell,WikiPathway_2021,398,Homo sapiens,miR-targeted genes in muscle cell,https://www.wikipathways.org/index.php/Pathway:WP2005,P,1333,83,26.09480187,.0632250689611375086710285061079864650537,1.5338631744128e-22,9,5.9053732214891e-20
WAG002380,Nuclear receptors meta-pathway,WikiPathway_2021,318,Homo sapiens,Nuclear receptors meta-pathway,https://www.wikipathways.org/index.php/Pathway:WP2882,P,1333,72,566.0944592,.0643748319272549890244588839344344313043,6.6660883300657e-22,10,2.5597779187452e-19
WAG002670,TYROBP causal network in microglia,WikiPathway_2021,60,Homo sapiens,TYROBP causal network in microglia,https://www.wikipathways.org/index.php/Pathway:WP3945,P,1333,31,221.1523998,.1121904761904761904761904761904761904762,7.5555826874228e-22,11,2.893788169283e-19
WAG002173,Allograft Rejection,WikiPathway_2021,94,Homo sapiens,Allograft Rejection,https://www.wikipathways.org/index.php/Pathway:WP2328,P,1333,38,1120.605639,.0916045127155318396315167571066238174443,1.2016462272788e-21,12,4.5902885882049e-19
WAG003238,Network map of SARS-CoV-2 signaling pathway,WikiPathway_2021,226,Homo sapiens,Network map of SARS-CoV-2 signaling pathway,https://www.wikipathways.org/index.php/Pathway:WP5115,P,1333,59,1086.742255,.0682777399591558883594281824370319945541,1.9013787529449e-21,13,7.2442530487201e-19
