GS_ID,NAME,SOURCE,GS_SIZE,ORGANISM,DESCRIPTION,LINK,TYPE,MULTI_N,OLAP,COCO_V2,SIMILARITY_SCORE,pvalue,Rank,pFDR
WAG002048,Generic transcription pathway,WikiPathway_2021,413,Homo sapiens,Generic transcription pathway,https://www.wikipathways.org/index.php/Pathway:WP1822,P,1333,152,176.8718334,.0949936081910541928307835650878628873943,5.63244613395e-38,1,5.2550722429754e-35
WAG002628,VEGFA-VEGFR2 signaling pathway,WikiPathway_2021,438,Homo sapiens,VEGFA-VEGFR2 signaling pathway,https://www.wikipathways.org/index.php/Pathway:WP3888,P,1333,149,980.8100106,.0888975727325179044340344871124834780552,8.0031126774365e-33,2,7.4589010153708e-30
WAG002876,Ciliary landscape,WikiPathway_2021,215,Homo sapiens,Ciliary landscape,https://www.wikipathways.org/index.php/Pathway:WP4352,P,1333,96,145.0772902,.1031551394342092016510621161783952481627,2.6775005747982e-32,3,2.4927530351371e-29
WAG002483,Assembly of the primary cilium,WikiPathway_2021,185,Homo sapiens,Assembly of the primary cilium,https://www.wikipathways.org/index.php/Pathway:WP3498,P,1333,87,3717.222915,.1066559008764331958248308058193989752926,1.7818408925662e-31,4,1.6571120300866e-28
WAG002783,Cilium Assembly,WikiPathway_2021,185,Homo sapiens,Cilium Assembly,https://www.wikipathways.org/index.php/Pathway:WP4124,P,1333,87,3717.222915,.1066559008764331958248308058193989752926,1.7818408925662e-31,4,1.655330189194e-28
WAG003212,Malignant pleural mesothelioma,WikiPathway_2021,430,Homo sapiens,Malignant pleural mesothelioma,https://www.wikipathways.org/index.php/Pathway:WP5087,P,1333,143,1643.647427,.0865396391114585369031333463618005341672,2.1935974639169e-30,6,2.0356584465149e-27
WAG002133,miR-targeted genes in lymphocytes,WikiPathway_2021,485,Homo sapiens,miR-targeted genes in lymphocytes,https://www.wikipathways.org/index.php/Pathway:WP2004,P,1333,152,26.66337642,.083798856275267400264267017112900742311,4.8965591310104e-29,7,4.5391103144466e-26
WAG002068,Mitotic G2-G2/M phases,WikiPathway_2021,181,Homo sapiens,Mitotic G2-G2/M phases,https://www.wikipathways.org/index.php/Pathway:WP1859,P,1333,81,9396.23383,.1012312692182695432614184645383865403365,1.4085362316595e-27,8,1.3043045505167e-24
WAG002134,miR-targeted genes in muscle cell,WikiPathway_2021,398,Homo sapiens,miR-targeted genes in muscle cell,https://www.wikipathways.org/index.php/Pathway:WP2005,P,1333,130,26.09480187,.0835946816464193442180161301854432888137,6.2622796688195e-27,9,5.7926086936581e-24
WAG003247,Alzheimer's disease,WikiPathway_2021,263,Homo sapiens,Alzheimer's disease,https://www.wikipathways.org/index.php/Pathway:WP5124,P,1333,100,1543.841216,.0903620196455740301732936683986053765401,8.6468876647608e-27,10,7.989724202239e-24
