GS_A_ID,GS_A_SIZE,GS_B_ID,GS_B_SIZE,OLAP,SIMILARITY,PVALUE
WAG002393,199,WAG002267,81,37,.2131687242798354,141.99332515949845
WAG002874,71,WAG002939,33,15,.2257405515832482,74.01525550193874
WAG002284,67,WAG002753,41,41,.6895522388059703,272.90372503288904
WAG003186,67,WAG003080,33,14,.21508104298801975,68.72190740765943
WAG002245,64,WAG002241,43,17,.2301808785529716,82.94378189052071
WAG002928,60,WAG003057,38,12,.17478580171358632,56.0386282001939
WAG002152,101,WAG002361,11,6,.15437392795883365,29.177369866429213
WAG003212,430,WAG002358,48,27,.16039356984478936,89.3832322836106
WAG002477,17,WAG002610,27,6,.1969040247678019,34.244539450420625
WAG002254,46,WAG002152,101,16,.16727514105542649,67.43007916861905
WAG002536,35,WAG003213,33,8,.15515151515151515,39.77920887037351
WAG003212,430,WAG002805,341,149,.2790299007081499,456.96783010744247
WAG002659,303,WAG002805,341,252,.6806223479490807,1166.103589148062
WAG002970,122,WAG002659,303,47,.17652007979876833,149.2583212314967
WAG002970,122,WAG003212,430,84,.2812946616225305,306.23838736333715
WAG002696,47,WAG003210,140,17,.1523404255319149,66.51026972537022
WAG003262,29,WAG002173,94,15,.21455938697318008,71.9900857916117
WAG002639,14,WAG002677,7,6,.4914285714285716,46.3066139558666
WAG003076,33,WAG002789,56,18,.3119078104993598,98.38548573338517
WAG002804,31,WAG002258,18,6,.1782945736434109,32.929809107127994
WAG002267,81,WAG002805,341,41,.1873238067463789,139.4064763294873
WAG002267,81,WAG002393,199,37,.2131687242798354,141.9933251595271
WAG003057,38,WAG002928,60,12,.17478580171358632,56.038628200172646
WAG002119,15,WAG002646,15,15,1,129.1961092398269
WAG003049,84,WAG002186,144,28,.1786666666666667,105.99784929571548
WAG003083,15,WAG002729,46,9,.2584615384615385,52.12412124841018
WAG002931,9,WAG003080,33,4,.17309941520467834,23.263117409464144
WAG003150,23,WAG003077,7,6,.3714285714285715,42.79188480521259
WAG002818,13,WAG002798,32,12,.4755244755244756,83.8900874029627
WAG002818,13,WAG003202,25,5,.19813519813519812,29.54230388970535
WAG002393,199,WAG002805,341,102,.2888139326770841,355.80887394888464
WAG003238,226,WAG003262,29,16,.16390131294185545,63.42764383725161
WAG002925,62,WAG002517,73,17,.17009294696555494,72.95913434322792
WAG002789,56,WAG003160,25,13,.25694117647058823,69.88036609954037
WAG003186,67,WAG003213,33,11,.16554307116104872,50.77368114839518
WAG003031,274,WAG002938,9,7,.17584541062801934,30.528973741168556
WAG002928,60,WAG002245,64,29,.3408771929824562,151.4317985269727
WAG003210,140,WAG002696,47,17,.1523404255319149,66.5102697253767
WAG002732,107,WAG002729,46,20,.20725727361882967,88.60599144592119
WAG002732,107,WAG003063,95,23,.15121434872096445,85.89366776662088
WAG002732,107,WAG002536,35,15,.18020247469066367,66.18270961317677
WAG002537,63,WAG002729,46,14,.1787643020594966,64.0200031936741
WAG002729,46,WAG003262,29,11,.21336206896551727,57.046053591345775
WAG002241,43,WAG002928,60,26,.3910601026880097,145.49733310019698
WAG003049,84,WAG002393,199,46,.26479807112718506,188.65894785072896
WAG003039,9,WAG002254,46,4,.1516339869281046,21.881692427654453
WAG002805,341,WAG002970,122,48,.17121864507209167,147.67756218211937
WAG002696,47,WAG003160,25,12,.2560000000000001,65.55892185943165
WAG002696,47,WAG003236,32,10,.17844202898550726,49.299533678809475
WAG003160,25,WAG003076,33,11,.2752340425531915,63.319258070765436
WAG003204,26,WAG002536,35,9,.2076923076923077,48.44122955531128
WAG002258,18,WAG002804,31,6,.1782945736434109,32.929809107071435
WAG002933,17,WAG002946,17,4,.15372549019607845,23.169740665309266
WAG002938,9,WAG002536,35,6,.2596491228070176,37.53142479851391
WAG002361,11,WAG003039,9,8,.7111111111111111,65.87730702465349
WAG003080,33,WAG003013,16,5,.1534090909090909,26.827767004242816
WAG003083,15,WAG003262,29,7,.2446846846846847,41.76158595461888
WAG003083,15,WAG003186,67,8,.1931531531531532,41.82407731648562
WAG002358,48,WAG003212,430,27,.16039356984478936,89.3832322836338
WAG003116,22,WAG003077,7,4,.2422857142857143,26.26316756650725
WAG003116,22,WAG002939,33,7,.18030303030303035,37.483494949028064
WAG003277,37,WAG002054,54,16,.2571531531531532,82.96025175968816
WAG003035,22,WAG002674,15,4,.1503030303030303,22.60368102690356
WAG003202,25,WAG002818,13,5,.19813519813519812,29.54230388964254
WAG002659,303,WAG002970,122,47,.17652007979876833,149.25832123149442
WAG002393,199,WAG002659,303,96,.28564497363665625,339.38900383369565
WAG003196,107,WAG002367,24,11,.165,49.63959696742901
WAG003186,67,WAG003238,226,35,.21300474372324424,135.73602441980438
WAG003186,67,WAG003083,15,8,.1931531531531532,41.82407731654911
WAG002729,46,WAG002537,63,14,.1787643020594966,64.02000319369017
WAG002345,97,WAG003266,23,17,.2798649219079781,90.25120483879739
WAG002345,97,WAG002946,17,8,.15449500554938955,37.40775549803061
WAG003049,84,WAG002805,341,60,.2743639921722113,236.23318852148034
WAG003212,430,WAG003049,84,47,.1924186805343122,155.03594788513578
WAG002860,31,WAG002165,8,4,.19142857142857145,24.11259996311523
WAG002054,54,WAG002813,23,14,.2995169082125604,79.01964693676564
WAG002054,54,WAG003277,37,16,.2571531531531532,82.96025175973801
WAG002805,341,WAG003212,430,149,.2790299007081499,456.9678301074509
WAG002477,17,WAG002254,46,6,.15479876160990713,30.795922107095464
WAG003213,33,WAG003186,67,11,.16554307116104872,50.773681148408635
WAG002946,17,WAG002345,97,8,.15449500554938955,37.40775549800037
WAG002939,33,WAG002674,15,8,.26666666666666666,47.96957913720525
WAG002939,33,WAG003116,22,7,.18030303030303035,37.483494949057864
WAG002614,15,WAG003212,430,11,.1669431643625192,41.46001910272707
WAG002614,15,WAG002186,144,9,.168,41.289509939532884
WAG002696,47,WAG003076,33,9,.1559539052496799,42.98138166208002
WAG002639,14,WAG002119,15,14,.9466666666666668,118.72328190249391
WAG002536,35,WAG003204,26,9,.2076923076923077,48.441229555335376
WAG003049,84,WAG002659,303,50,.2377419810654232,188.2021665331331
WAG003212,430,WAG002970,122,84,.2812946616225305,306.23838736326803
WAG002805,341,WAG003049,84,60,.2743639921722113,236.2331885214201
WAG002186,144,WAG002938,9,6,.16598639455782316,28.706472727388004
WAG002813,23,WAG002054,54,14,.2995169082125604,79.01964693675255
WAG002361,11,WAG002152,101,6,.15437392795883365,29.17736986647776
WAG002119,15,WAG002677,7,6,.4714285714285715,45.79581662742665
WAG002804,31,WAG002928,60,14,.2357771260997068,71.5731720548754
WAG003116,22,WAG003236,32,8,.21185770750988145,44.34591824646464
WAG002367,24,WAG003196,107,11,.165,49.6395969673523
WAG002938,9,WAG003031,274,7,.17584541062801934,30.52897374116219
WAG003202,25,WAG003204,26,15,.4533333333333333,98.33917885563095
WAG002677,7,WAG002639,14,6,.4914285714285716,46.30661395584536
WAG002877,23,WAG003236,32,8,.2057354301572618,43.919153694902214
WAG002805,341,WAG002267,81,41,.1873238067463789,139.4064763294573
WAG002393,199,WAG003049,84,46,.26479807112718506,188.65894785066064
WAG002969,98,WAG002970,122,62,.4404546628778093,308.6103817201397
WAG003238,226,WAG003186,67,35,.21300474372324424,135.73602441981495
WAG003186,67,WAG002729,46,13,.1605217391304348,57.437413238554775
WAG002729,46,WAG003083,15,9,.2584615384615385,52.12412124842832
