GS_A_ID,GS_A_SIZE,GS_B_ID,GS_B_SIZE,OLAP,SIMILARITY,PVALUE
WAG003212,430,WAG003224,153,55,.15522875816993464,149.90937335538615
WAG002393,199,WAG002267,81,37,.2131687242798354,141.99332515949845
WAG002393,199,WAG002440,21,12,.16043956043956045,49.9520463399183
WAG002414,90,WAG002096,63,18,.16380952380952382,73.94134202903723
WAG002414,90,WAG002440,21,13,.22993197278911565,66.35607680082285
WAG002134,398,WAG002131,333,249,.5628275578483047,1033.717184631462
WAG002345,97,WAG003215,107,35,.2378454218263893,148.4504182388598
WAG003196,107,WAG002625,18,11,.1994152046783626,53.98555559478197
WAG002633,60,WAG003269,59,59,.9866666666666668,429.2435862828164
WAG002996,136,WAG002805,341,51,.17077464788732394,153.9920732846108
WAG002996,136,WAG002171,93,26,.15837703268181574,94.61032139850386
WAG002588,38,WAG002440,21,8,.2016806722689076,43.262700411608016
WAG002284,67,WAG003040,33,15,.2320855614973262,74.98604309157656
WAG002596,246,WAG002395,34,19,.17000225377507325,73.85335673240036
WAG002596,246,WAG003049,84,31,.15675266762223286,103.3882921325992
WAG002596,246,WAG002683,29,16,.15976567700705632,62.03314298178884
WAG002596,246,WAG002815,59,26,.16268756454650385,92.51387123188442
WAG002596,246,WAG002118,55,31,.20457912457912455,120.66116349772959
WAG002055,86,WAG002054,54,25,.2665056360708534,119.33086069114887
WAG003212,430,WAG002805,341,149,.2790299007081499,456.96783010744247
WAG003212,430,WAG002215,26,17,.1617487296302786,60.42801764728893
WAG002970,122,WAG002659,303,47,.17652007979876833,149.2583212314967
WAG002970,122,WAG003212,430,84,.2812946616225305,306.23838736333715
WAG002970,122,WAG002063,103,35,.21532958610117525,140.4669195221388
WAG002973,120,WAG003076,33,13,.15307359307359308,54.480097665643996
WAG003034,48,WAG003032,301,27,.17958074534161492,99.3043533202092
WAG003034,48,WAG002216,72,24,.30000000000000004,121.9732603109528
WAG002186,144,WAG002208,40,25,.2507861635220125,115.42230925233014
WAG002186,144,WAG002879,163,49,.2199935400516796,182.25236185779409
WAG002548,56,WAG002208,40,11,.15852941176470592,50.450705054309594
WAG002548,56,WAG003005,152,22,.1731950844854071,86.30053189097578
WAG002996,136,WAG003001,96,33,.2014133165829146,128.58719937577337
WAG002996,136,WAG003080,33,30,.3544800523217789,161.6679842883087
