GS_A_ID,GS_A_SIZE,GS_B_ID,GS_B_SIZE,OLAP,SIMILARITY,PVALUE
WAG002879,163,WAG003051,160,52,.21850553505535056,191.0023378217129
WAG002879,163,WAG003002,114,40,.20519653564290471,149.321251989786
WAG002221,106,WAG002617,61,22,.19351045788581125,92.60911149624322
WAG002134,398,WAG002131,333,249,.5628275578483047,1033.717184631462
WAG002125,157,WAG003295,68,26,.18099320130062074,100.25770588897645
WAG002162,110,WAG002365,49,18,.17559704732957016,75.37897478028093
WAG002876,215,WAG002965,104,34,.16082321187584347,113.34976903433905
WAG002700,80,WAG003295,68,26,.2469623915139827,120.08302416421549
WAG003212,430,WAG002840,155,101,.2972647294054919,361.0033536268247
WAG003212,430,WAG003224,153,55,.15522875816993464,149.90937335538615
WAG002087,235,WAG002922,34,26,.2385378842895183,115.11424257744206
WAG002087,235,WAG002770,127,87,.3900987831066572,378.0407289032811
WAG002783,185,WAG002233,182,69,.2610590751530349,259.39433470267454
WAG002783,185,WAG002965,104,65,.35714285714285715,288.06631530393935
WAG002973,120,WAG003076,33,13,.15307359307359308,54.480097665643996
WAG002628,438,WAG002146,76,38,.16386554621848742,118.6394962477359
WAG002628,438,WAG002392,59,30,.1530867782092694,94.45252479847159
WAG002628,438,WAG002143,76,43,.18619398815510116,141.65719350389531
WAG002067,148,WAG002500,144,47,.21874716553287984,177.5374258149377
WAG003066,194,WAG002172,66,25,.16086395873629916,90.44385582350584
WAG002393,199,WAG002267,81,37,.2131687242798354,141.99332515949845
WAG002030,120,WAG002067,148,56,.3046540880503145,238.51246807554776
WAG002513,366,WAG002281,81,49,.21948011663254546,175.63576416217938
WAG002513,366,WAG002500,144,51,.15972222222222224,146.62442813008715
WAG002879,163,WAG003049,84,30,.18202764976958524,112.0762026860059
WAG002879,163,WAG002142,66,25,.17379679144385027,95.08479060800987
WAG002879,163,WAG002544,43,19,.1696555154831489,75.98590345381946
WAG002221,106,WAG002837,72,21,.16533970276008492,83.05662325348709
WAG002221,106,WAG002841,89,31,.22088243354343656,129.9902411534324
WAG002221,106,WAG002128,64,19,.16003725165562915,75.50389010499248
WAG002221,106,WAG002801,63,21,.18018018018018014,86.36628093801437
WAG002221,106,WAG002659,303,40,.16219256532187964,125.82228262561672
WAG002221,106,WAG003005,152,34,.18557951482479787,125.48263395755066
WAG002162,110,WAG003002,114,26,.15232323232323233,94.71702576792428
WAG003001,96,WAG002837,72,35,.3077485380116959,166.4580105528079
WAG003001,96,WAG002841,89,32,.2392303737974591,139.32233417775683
WAG003001,96,WAG002996,136,33,.2014133165829146,128.587199375766
WAG003247,263,WAG002300,107,48,.20897428455331749,169.11238059308857
WAG003247,263,WAG002872,91,47,.2257722733292766,174.4228207162414
WAG003247,263,WAG003296,112,46,.1939969604863222,156.74538968649063
WAG003212,430,WAG002805,341,149,.2790299007081499,456.96783010744247
WAG003212,430,WAG002799,37,33,.239207871465936,135.70371017169828
WAG003212,430,WAG002215,26,17,.1617487296302786,60.42801764728893
WAG002068,181,WAG002932,85,52,.3167454645409566,228.15833342694458
WAG002068,181,WAG002781,233,56,.18701811784314326,179.81476418404625
WAG002068,181,WAG002783,185,68,.2576884571174312,254.65831793802002
WAG002068,181,WAG002500,144,49,.21008454106280194,176.27845875675087
WAG002965,104,WAG002483,185,65,.35714285714285715,288.06631530394293
WAG002965,104,WAG002783,185,65,.35714285714285715,288.06631530394293
WAG002965,104,WAG003047,182,62,.3406593406593407,270.97070703424924
WAG002554,132,WAG002395,34,14,.1560371517027864,57.99041736013496
WAG002023,289,WAG002889,72,49,.2617521367521368,197.1688185897206
WAG002023,289,WAG002717,135,50,.18102594573182806,159.0471850479096
WAG002023,289,WAG002932,85,71,.3545175694039993,314.82339091276845
WAG002023,289,WAG002419,101,49,.21198571470050231,172.7448821299026
WAG002023,289,WAG002605,91,44,.20146520146520147,154.7074162883025
WAG002023,289,WAG002057,127,50,.1880297749666537,162.82190090514064
WAG002023,289,WAG002068,181,79,.2489296463240593,270.8669998778488
WAG002067,148,WAG002204,136,52,.2557809330628803,207.36081657833645
WAG002067,148,WAG002290,85,47,.31273877292852625,209.67311324445384
WAG002393,199,WAG002440,21,12,.16043956043956045,49.9520463399183
WAG002030,120,WAG002002,98,33,.21004964147821287,132.49430748833194
WAG002030,120,WAG002950,64,47,.4213275547445256,242.84215994375882
WAG002762,267,WAG002257,125,49,.1926857142857143,163.4630069213697
WAG003103,88,WAG002070,28,13,.19382801664355065,61.46946943884285
WAG003001,96,WAG002939,33,12,.1547785547785548,51.984226161352005
WAG003247,263,WAG003041,119,41,.1650952463096676,130.6355275110568
WAG002239,145,WAG002576,65,26,.1930434782608696,103.9677665167194
WAG002239,145,WAG002257,125,45,.232,176.12335553656158
WAG003212,430,WAG002193,33,23,.1812121212121212,83.78132660910433
WAG002068,181,WAG002309,225,72,.25201310087008305,258.46997829759897
WAG002022,93,WAG002059,52,22,.2277048155096936,100.21716464347747
WAG002022,93,WAG002532,50,20,.21008130081300813,89.58820658777455
WAG002233,182,WAG002483,185,69,.2610590751530349,259.3943347027016
WAG002170,98,WAG002118,55,22,.21435114503816796,97.35572109031399
WAG002105,120,WAG003030,44,19,.19119122257053286,81.62631486949623
WAG002659,303,WAG002063,103,38,.15639510341916424,118.4495838486255
WAG003103,88,WAG002601,80,20,.1581081081081081,79.65767761423079
WAG002618,60,WAG002212,88,19,.18116279069767444,80.83886572790323
WAG002239,145,WAG002275,50,28,.2461317365269461,124.63653643932895
WAG002186,144,WAG002208,40,25,.2507861635220125,115.42230925233014
WAG002104,101,WAG002628,438,54,.19600285801776055,173.7653871051175
WAG002104,101,WAG002036,62,21,.18605179463880056,87.89153138776419
WAG002996,136,WAG002805,341,51,.17077464788732394,153.9920732846108
WAG002996,136,WAG002171,93,26,.15837703268181574,94.61032139850386
WAG002996,136,WAG003001,96,33,.2014133165829146,128.58719937577337
WAG002023,289,WAG002320,100,58,.2561812688821753,219.65414545745875
