GS_ID,wFC,pFDR,x,y
WAG003212,1.0516,3.2316152775076e-21,180.72027761154817,392.9222521670906
WAG003294,0.795,8.9293519526635e-19,532.6732700222202,815.1798522418248
WAG002805,1.1567,1.7894172543762e-18,971.212790879908,573.7309577817109
WAG002659,1.2038,2.0741002606967e-18,381.9051489154099,468.8697892220821
WAG002393,1.2115,6.1416644985751e-15,291.2303657619184,379.46222374186
WAG002190,0.764,1.9082065113388e-14,769.5179182259542,769.1138530155032
WAG003238,1.2133,1.5192462655363e-13,925.0,491.6720751482081
WAG003196,2.118,2.0046946712695e-13,193.3710088299824,853.2550324698648
WAG003063,1.5506,4.3180240561918e-13,119.04407952127994,739.5169900073355
WAG003031,1.2891,5.500993573894e-13,812.4131032999518,599.495569818113
