GS_ID,wFC,pFDR,x,y
WAG002718,1.7659,7.081898757977801e-48,775.5782854802648,92.99501379982352
WAG002628,1.542,7.7542253100534e-39,200.91656207251023,272.42321426266926
WAG003212,1.7369,2.9088863398925e-26,180.72027761154817,392.9222521670906
WAG003032,1.6435,4.8440849575853e-25,446.478213782209,887.4481255155353
WAG002393,2.1833,9.7372345872101e-23,291.2303657619184,379.46222374186
WAG003066,1.9616,1.4706399984207001e-22,185.8746160452263,133.85128222245885
WAG002133,1.5115,4.4499026110865e-22,607.2988153350716,220.6211292784625
WAG002820,1.7683,2.9067915348871e-20,75.0,593.4588731163899
WAG002134,1.568,5.9053732214891e-20,704.5956797536401,265.6734987156773
WAG002380,1.4315,2.5597779187452e-19,343.416414702091,132.0390524022556
